date,zone,rainfall_mm,peak_hourly_mm,temp_c,aqi,is_cyclone_event,heavy_rain_trigger,extreme_rain_trigger,heat_wave_trigger,aqi_trigger,disruption_active,disruption_hours
2014-01-01,Adyar,0.0,0.0,22.0,97,0,0,0,0,0,0,0.0
2014-01-01,Velachery,0.0,0.0,21.6,97,0,0,0,0,0,0,0.0
2014-01-01,Tambaram,0.0,0.0,21.3,85,0,0,0,0,0,0,0.0
2014-01-01,Anna Nagar,0.0,0.0,20.3,93,0,0,0,0,0,0,0.0
2014-01-01,T Nagar,0.0,0.0,22.0,88,0,0,0,0,0,0,0.0
2014-01-01,Porur,0.0,0.0,21.1,92,0,0,0,0,0,0,0.0
2014-01-01,Perambur,0.0,0.0,20.9,85,0,0,0,0,0,0,0.0
2014-01-01,Chromepet,0.0,0.0,21.1,84,0,0,0,0,0,0,0.0
2014-01-01,Sholinganallur,0.0,0.0,21.6,98,0,0,0,0,0,0,0.0
2014-01-01,Guindy,0.0,0.0,20.6,91,0,0,0,0,0,0,0.0
2014-01-02,Adyar,0.0,0.0,25.3,79,0,0,0,0,0,0,0.0
2014-01-02,Velachery,0.0,0.0,25.1,85,0,0,0,0,0,0,0.0
2014-01-02,Tambaram,0.0,0.0,26.1,81,0,0,0,0,0,0,0.0
2014-01-02,Anna Nagar,0.0,0.0,26.3,80,0,0,0,0,0,0,0.0
2014-01-02,T Nagar,0.0,0.0,25.1,94,0,0,0,0,0,0,0.0
2014-01-02,Porur,0.0,0.0,26.4,84,0,0,0,0,0,0,0.0
2014-01-02,Perambur,0.0,0.0,25.3,94,0,0,0,0,0,0,0.0
2014-01-02,Chromepet,0.0,0.0,25.8,89,0,0,0,0,0,0,0.0
2014-01-02,Sholinganallur,0.0,0.0,25.6,88,0,0,0,0,0,0,0.0
2014-01-02,Guindy,0.0,0.0,25.8,90,0,0,0,0,0,0,0.0
2014-01-03,Adyar,0.0,0.0,25.9,89,0,0,0,0,0,0,0.0
2014-01-03,Velachery,0.0,0.0,26.0,87,0,0,0,0,0,0,0.0
2014-01-03,Tambaram,0.0,0.0,26.3,79,0,0,0,0,0,0,0.0
2014-01-03,Anna Nagar,0.0,0.0,26.7,81,0,0,0,0,0,0,0.0
2014-01-03,T Nagar,0.0,0.0,26.4,83,0,0,0,0,0,0,0.0
